番号,Ap. 語形,Ap. アクセント,意味,脚韻開始一致率,内訳,全体,逸脱,Ved. のアクセント,,
124,avaloivi,avalóivi,見てから,100.000%,3,3,0,,,
125,avasara-,avasára-,時期,100.000%,11,11,0,avasara-,,
126,avaharia-,avahária-,運び下された,100.000%,2,2,0,,,
127,aviāra-,aviā́ra-,ためらいないこと,100.000%,3,3,0,avicāra-,,
128,aviola-,avióla-,落ち着かない,100.000%,2,2,0,avikula-,,
129,avicala-,avicála-,不動の,100.000%,4,4,0,avicala-,,
130,avaiṇṇa-,avaiṇṇá-,降誕した,60.000%,3,5,0,avatīrṇa-,,
131,asakka-,asákka-,不可能な,100.000%,2,2,0,aśakta-,,
132,asajjha-,asájjha-,成就され得ない,100.000%,3,3,0,asādhya-,,
133,asaṇivea-,asaṇivéa-,アシャニヴェーガ,100.000%,2,2,0,,,
134,asanta-,asánta- / asantá-,悪意に満ちた,50.000%,1,2,,,,
135,asāra-,asā́ra-,精髄のない,100.000%,3,3,0,asāra-,,
136,asivara-,asivára-,最上の剣,100.000%,5,5,0,*asivara-,,
137,asi-,ási-,剣,100.000%,2,2,0,así-,,
138,asundara-,asundára-,よくない,85.714%,6,7,0,asundara-,,
139,asuhāvaṇa-,asuhā́vaṇa-,美しくない,50.000%,2,4,2,aśobhana-,,
140,asesa-,asésa-,全ての,78.947%,15,19,3,aśeṣa-,,
141,ahaminda-,ahamínda-,アハミンドラ,100.000%,2,2,0,ahamindra-,,
142,ahia-,áhia-,さらなる、非常に大きい,100.000%,3,3,0,adhika-,,
143,ahiṭṭhia-,ahiṭṭhía-,定住した,66.667%,2,3,0,adhiṣṭhita-,,
144,ahiṇanda-,ahiṇánda-,喜ぶ,100.000%,2,2,0,abhinanda-,,
145,ahiṇava-,ahiṇavá-,とても若い,66.667%,2,3,0,abhinava-,,
146,ahiṇāṇa-,ahiṇā́ṇa-,類似,100.000%,4,4,0,abhijñāna-,,
147,ahimāṇa-,ahimā́ṇa-,傲慢,100.000%,2,2,0,abhimāna-,,
148,ahimuha-,ahimúha-,対面した,60.000%,3,5,0,abhimukha-,,
149,ahilasa-,ahilása-,求める,66.667%,2,3,1,,,
150,ahisitta-,ahisítta- / ahisittá-,灌頂された,50.000%,1,2,,abhiṣikta-,,
151,āaṇṇivi,āáṇṇivi,聞いてから,100.000%,3,3,0,,,
152,āaria-,āária-,師,100.000%,3,3,0,ācāryà-,,
153,āavatta-,āavátta-,影,100.000%,2,2,0,,,
154,āahu,ā́ahu,この者の,100.000%,4,4,0,,,
155,āa-,ā́a-,来た,100.000%,46,46,0,ā́gata-,,
156,āāma-,āā́ma-,力,66.667%,2,3,1,,,
157,āāmia-,āā́mia-,長くされた,100.000%,4,4,0,,,
158,āia-,ā́ia-,来た,100.000%,20,20,0,ā́gata-,,
159,āesa-,āésa- / āesá-,命令,50.000%,1,2,,ādeśa-,,
160,ākarisia-,ākárisia-,近寄らされた,100.000%,2,2,0,ākarṣita-,,
161,ākhaṇḍala-,ākháṇḍala-,破壊者（インドラ）,100.000%,6,6,0,ākhaṇḍala-,,
162,āgamaṇa-,āgamáṇa-,来ること,100.000%,2,2,0,āgamana-,,
163,āṇanda-,āṇandá-,喜び,85.714%,6,7,0,ānandá-,,
164,āṇavaḍiccha-,āṇavaḍíccha-,従順な,75.000%,3,4,1,,,
165,āṇa-,ā́ṇa-,連れてくる,100.000%,4,4,0,ā́naya-,,
166,āṇia-,ā́ṇia-,連れてこられた,100.000%,5,5,0,ānīta-,,
167,ādaṇṇa-,ādáṇṇa-,不安な,100.000%,2,2,0,,,
168,āmellia-,āmellía-,捨てられた,100.000%,2,2,0,,,
169,āmellivi,āméllivi,捨ててから,100.000%,2,2,0,,,
170,ārāha-,ārā́ha-,崇拝する,100.000%,2,2,0,ārādhaya-,,
171,ārisa-,ā́risa-,このような,100.000%,3,3,0,īdṛ́śa-,,
172,āruṭṭha-,ārúṭṭha-,怒らされた,100.000%,6,6,0,,,
173,ālagga-,ālágga-,くっつけられた,100.000%,4,4,0,ālagna-,,
174,ālāva-,ālā́va-,会話,100.000%,4,4,0,ālāpa-,,
175,āliṅgaṇa-,ālíṅgaṇa- / āliṅgáṇa-,抱擁,50.000%,1,2,,āliṅgana-,,
176,āliṅgia-,āliṅgía-,抱擁された,100.000%,2,2,0,āliṅgita-,,
177,āliṅgeppiṇu,āliṅgéppiṇu,抱擁してから,100.000%,2,2,0,,,
178,āvaṭṭia-,āváṭṭia-,回された,100.000%,2,2,0,āvartita-,,
179,āvaṇa,ā́vaṇa,店,50.000%,1,2,1,āpaṇa-,,
180,āva-,ā́va-,来る,100.000%,6,6,0,,,
181,āvāsa-,āvā́sa-,すみか,100.000%,2,2,0,āvāsa-,,
182,āvāsia-,āvā́sia-,居住した,83.333%,5,6,1,āvāsita-,,
183,āvīlia-,āvī́lia-,痛めつけられた,100.000%,2,2,0,,,
184,āsaṅka-,āsaṅká-,疑う,66.667%,2,3,0,āśaṅka-,,
185,āsaṅkia-,āsáṅkia-,疑われた,66.667%,2,3,1,āśaṅkita-,,
186,āsaṅgha-,āsáṅgha-,会う,66.667%,2,3,1,,,
187,āsaṅghia-,āsáṅghia-,会った,100.000%,3,3,0,,,
188,āsaṇa-,āsáṇa-,座,100.000%,3,3,0,ā́sana-,,
189,āsāsia-,āsā́sia-,慰められた,66.667%,2,3,1,āśvāsita-,,
190,āsi,ā́si,であった,100.000%,2,2,0,ā́sīt,,
191,āhaaṇa-,āhaáṇa-,戦い,66.667%,2,3,0,,,
192,āhaa-,ā́haa- / āháa-,打たれた,40.000%,2,5,,ā́hata-,,
193,āhaṇa-,āháṇa-,攻撃する,66.667%,2,3,0,,,
194,āhaṇḍala-,āháṇḍala-,破壊者（インドラ）,100.000%,2,2,0,ākhaṇḍala-,,
195,āhava-,ā́hava-,戦い,100.000%,4,4,0,āhavá-,,
196,āhāra-,āhā́ra-,食事,100.000%,2,2,0,āhāra-,,
197,iara-,iára- / iará-,他の,50.000%,1,2,,ítara-,,
198,iccha-,íccha-,望む,57.143%,4,7,3,icchá-,,
199,icchā-,icchā́-,望み,66.667%,2,3,0,icchā-,,
200,icchia-,ícchia-,求められた,66.667%,2,3,1,,,
201,icchesa-,icchésa-,求めるであろう,100.000%,2,2,0,,,
202,indattaṇa-,indáttaṇa-,支配権,100.000%,2,2,0,,,
203,inda-,índa-,主,60.000%,6,10,4,índra-,,
204,indāiṇi-,indā́iṇi- / indāiṇí-,インドラの女,50.000%,1,2,,indrāṇī́-,,
205,indāuha-,indāúha-,虹,100.000%,2,2,0,indrāyudha-,,
206,indāesa-,indāésa-,主の代わり,100.000%,2,2,0,,,
207,indindira-,indindíra-,大蜂,100.000%,2,2,0,indindirā-,,
208,indīvara-,indīvára-,蓮,100.000%,4,4,0,,,
209,ila-,íla-,大地,100.000%,3,3,0,ilā-,,
210,iva,íva,〜の如くに,92.308%,24,26,2,iva,,
211,īha-,ī́ha-,見る,100.000%,2,2,0,ī́kṣa-,,
212,uia-,úia-,上がった,66.667%,2,3,1,údita-,,
213,ukkhala-,ukkhála-,すり鉢,100.000%,2,2,0,udūkhala-,,
214,uggaa-,uggáa-,生じた,100.000%,2,2,0,udgata-,,
215,uggamia-,uggámia-,出てこさせられた、生じた,66.667%,2,3,1,udgamita-,,
216,ugga-,úgga-,力強い,100.000%,2,2,0,ugrá-,,
217,uggilia-,uggília-,語られた,100.000%,2,2,0,,,
218,uccalia-,uccália- / uccalía-,外に出た,50.000%,1,2,,uccalita-,,
219,uccāia-,uccā́ia-,上げられた,66.667%,2,3,1,,,
220,uccāria-,uccā́ria-,話された,100.000%,2,2,0,uccārita-,,
221,uccāreppiṇu,uccāréppiṇu,話してから,100.000%,2,2,0,,,
222,ucchaṇṇa-,uccháṇṇa-,滅びた,100.000%,2,2,0,utsanna-,,
223,ucchiṇṇa-,ucchíṇṇa-,根絶やしにされた,100.000%,2,2,0,ucchinna-,,
224,ucchuraa-,ucchuráa-,イクシュラヴァ,100.000%,2,2,0,ikṣurava-,,
225,ujjala-,ujjála-,純粋な,100.000%,4,4,0,ujjvala-,,
226,ujjāṇa-,ujjā́ṇa-,遊園,100.000%,7,7,0,udyā́na-,,
227,ujjālia-,ujjā́lia-,輝いている,100.000%,2,2,0,ujjvalita-,,
228,uṭṭhaddha-,uṭṭháddha-,完璧な,100.000%,4,4,0,,,
229,uṭṭhava-,uṭṭháva-,立たせる,100.000%,2,2,0,utthāpaya-,,
230,uṭṭhia-,uṭṭhía-,立っている,100.000%,2,2,0,utthita-,,
231,uḍḍanta-,uḍḍánta-,飛びつつある,100.000%,2,2,0,,,
232,uṇhāla-,uṇhā́la-,熱で苦しむ,100.000%,3,3,0,uṣṇālu-,,
233,uttamaṅga-,uttamáṅga-,頭,100.000%,2,2,0,uttamāṅga-,,
234,uttara-,uttará-,より上の、北の,66.667%,2,3,0,úttara-,,
235,uttharanta-,uttharánta-,戦いつつある,60.000%,3,5,1,,,
236,utthara-,utthára-,戦う,60.000%,3,5,2,,,
237,uttharia-,utthária-,戦われた,100.000%,2,2,0,,,
238,uttharivi,utthárivi,戦ってから,100.000%,2,2,0,,,
